,CircleNum,ID,Name,Lat,Lng,CategoryID,Category
27,26,5da0a2a163309a00071edccf,Iron Mountain,39.5346756,-104.9959259,5453de49498eade8af355881,Business Service
28,27,4ba42dbcf964a5206a8938e3,Fatburger,39.52953,-104.996564,4bf58dd8d48988d16c941735,Burger Joint
29,27,4c7c1698794e224b193c6d28,Tanks Park,39.52827008,-104.9881195,4bf58dd8d48988d167941735,Skate Park
30,27,4c098436009a0f474cece7bf,Highwoods Pool,39.53218,-104.982867,4bf58dd8d48988d15e941735,Pool
31,28,4e64269f8877954de8f05bc7,Marcy Gulch Trail,39.532079,-104.976428,4bf58dd8d48988d159941735,Trail
32,28,4ed2b96d6aa3f49917fb2379,BackCountry by Richmond American Homes,39.52607872,-104.9784084,545419b1498ea6ccd0202f58,Home Service
33,28,4c098436009a0f474cece7bf,Highwoods Pool,39.53218,-104.982867,4bf58dd8d48988d15e941735,Pool
34,28,5342f90e498e209ecf7fc515,"Law Offices of David L. Owen, Jr., P.C.",39.534959,-104.980709,52f2ab2ebcbc57f1066b8b3f,Lawyer
35,29,5ad47f1c3d47914b687e8bf5,Impact Taekwondo,39.5258331,-104.9696611,52e81612bcbc57f1066b7a26,Recreation Center
36,29,4be70c17cf200f47b631153c,Hass Bed and Breakfast,39.52554703,-104.9612427,4bf58dd8d48988d1f8931735,Bed & Breakfast
37,30,4e36c50f52b17fb1c61550d3,Kentley Hills,39.53126435,-104.9525722,4bf58dd8d48988d15b941735,Farm
38,30,4c65dee58e9120a1c28cd664,Dad Clark Park,39.53293443,-104.9509065,4bf58dd8d48988d1e5941735,Dog Run
39,30,52c8401e498e06031df46a05,Face to Face Esthetics,39.527057,-104.950026,4bf58dd8d48988d1ed941735,Spa
40,30,4be70c17cf200f47b631153c,Hass Bed and Breakfast,39.52554703,-104.9612427,4bf58dd8d48988d1f8931735,Bed & Breakfast
41,31,4bda2a4c63c5c9b636152368,Walgreens,39.52841552,-104.9411704,4bf58dd8d48988d10f951735,Pharmacy
42,31,4b567034f964a5205e1028e3,King Soopers,39.5252913,-104.9401598,4bf58dd8d48988d118951735,Grocery Store
43,31,4b3d1f8bf964a520718e25e3,Starbucks,39.52526,-104.940197,4bf58dd8d48988d1e0931735,Coffee Shop
44,31,4d8653a55ad3a0938c18f7fd,SUBWAY,39.52583674,-104.9399384,4bf58dd8d48988d1c5941735,Sandwich Place
45,31,4bc9e94cfb84c9b6f0de1b3e,Great Clips,39.52512807,-104.9407203,4bf58dd8d48988d110951735,Salon / Barbershop
46,31,577dadaf498e1b242c2fc5c5,The Flying Locksmiths,39.532384,-104.944853,52f2ab2ebcbc57f1066b8b1e,Locksmith
47,31,4b5a626ef964a520a0c128e3,Taco Bell,39.52640163,-104.9416938,4bf58dd8d48988d16e941735,Fast Food Restaurant
48,31,4dcb2b4645dd3831227f9fff,BBVA Compass,39.525364,-104.941852,4bf58dd8d48988d10a951735,Bank
49,31,4e52cc46c65ba127fb370482,Yogurtini Self-Serve,39.5260949,-104.9399291,4bf58dd8d48988d1c9941735,Ice Cream Shop
50,31,4c6dc72910faa14368ffee68,Wildcat Wine and Spirits,39.52614043,-104.9397281,4bf58dd8d48988d186941735,Liquor Store
51,31,4c65dee58e9120a1c28cd664,Dad Clark Park,39.53293443,-104.9509065,4bf58dd8d48988d1e5941735,Dog Run
52,31,4bd9ac6c2e6f0f47c76b0b08,Elements Massage,39.5251031,-104.940853,52f2ab2ebcbc57f1066b8b3c,Massage Studio
53,31,4c7fea8adc018cfafddab76c,Grand View Trail,39.53214275,-104.936909,4bf58dd8d48988d159941735,Trail
54,32,4b3abf94f964a520d36d25e3,Southridge Recreation Center,39.52370631,-104.934148,4bf58dd8d48988d175941735,Gym / Fitness Center
55,32,4b5c78c1f964a5206a3129e3,Eastridge Recreation Center,39.53611109,-104.9316115,52e81612bcbc57f1066b7a26,Recreation Center
56,32,4bda2a4c63c5c9b636152368,Walgreens,39.52841552,-104.9411704,4bf58dd8d48988d10f951735,Pharmacy
57,32,4bdc6a5b2a3a0f47c1b9b2b6,Highland Heritage Regional Park,39.53614392,-104.9315429,4bf58dd8d48988d163941735,Park
58,32,4f320c3519833175d60b478b,Pizza Hut,39.531302,-104.929066,4bf58dd8d48988d1ca941735,Pizza Place
59,32,4ba1020df964a5206d8e37e3,Big Dry Creek Park,39.53603371,-104.9318014,4bf58dd8d48988d163941735,Park
60,32,4c7fea8adc018cfafddab76c,Grand View Trail,39.53214275,-104.936909,4bf58dd8d48988d159941735,Trail
61,32,56155300498ed599cd4d27da,Angel Beauty Service LLC,39.5349617,-104.933075,54541900498ea6ccd0202697,Health & Beauty Service
62,32,4c6dc72910faa14368ffee68,Wildcat Wine and Spirits,39.52614043,-104.9397281,4bf58dd8d48988d186941735,Liquor Store
63,32,4e52cc46c65ba127fb370482,Yogurtini Self-Serve,39.5260949,-104.9399291,4bf58dd8d48988d1c9941735,Ice Cream Shop
64,33,4f320c3519833175d60b478b,Pizza Hut,39.531302,-104.929066,4bf58dd8d48988d1ca941735,Pizza Place
