,CircleNum,ID,Name,Lat,Lng,CategoryID,Category
3290,64,5035243fe4b0ec35e72be2b0,Maxwell Park,40.041256997794356,-105.28854671607158,4bf58dd8d48988d163941735,Park
3291,64,5e2f415d6bd7f0000850a8fc,Bluestone Marketing,40.0347739,-105.2875663,4bf58dd8d48988d1ff941735,Miscellaneous Shop
3292,64,4ed663f88231ee8d68c38448,North Boulder Shopping Center,40.0476209876656,-105.2810293083872,4bf58dd8d48988d1fd941735,Shopping Mall
3293,64,4b744405f964a5201fd12de3,lucky's diner,40.047634269810445,-105.28069381311695,4bf58dd8d48988d147941735,Diner
3294,64,51216ab7e4b0bd4ef06fa237,Iris Fields,40.037340064498764,-105.27787537784117,4bf58dd8d48988d1e8941735,Baseball Field
3295,64,49f25ee0f964a520256a1fe3,Nomad theater,40.047525,-105.279808,4bf58dd8d48988d137941735,Theater
3296,64,537ba0ba498ee189b9feded5,East Ridge Trail,40.035931,-105.298876,4bf58dd8d48988d159941735,Trail
3297,64,4da249c422a5f04d662a0e55,Catalpa Park,40.04125517314522,-105.27400979763149,4bf58dd8d48988d163941735,Park
3298,64,4beedbaff97d952105ea9438,Growing Gardens,40.03409671302703,-105.27620071916272,4bf58dd8d48988d15a941735,Garden
3299,64,4dea602c1f6e3ddebdca1214,Top Of Sinitas,40.0343320632266,-105.30519237627482,4bf58dd8d48988d159941735,Trail
3300,64,51b3af1d498ecfb06939dd4b,Mt Sanitas Hiking Trail,40.03431683900456,-105.30522667534105,4bf58dd8d48988d159941735,Trail
3301,65,50905e8fe4b0ae9e17c013f4,Lucky's Bakehouse & Creamery,40.0475578617461,-105.28147169830218,4bf58dd8d48988d16a941735,Bakery
3302,65,4a3fbda2f964a520e5a31fe3,Logan's Espresso Cafe,40.047736,-105.280695,4bf58dd8d48988d16d941735,Café
3303,65,4c02ca47187ec928efbfb47b,Wonderland Trailhead,40.05087178707268,-105.2824925675911,4bf58dd8d48988d159941735,Trail
3304,65,507b12a1e4b0b6155b1e6c2d,Lucky's Cafe,40.04762819223216,-105.28069493005202,4bf58dd8d48988d143941735,Breakfast Spot
3305,65,4b7892aff964a520b1d72ee3,China Gourmet,40.04751384778852,-105.28058223432689,4bf58dd8d48988d1c4941735,Restaurant
3306,65,4b5508e5f964a520add827e3,North Boulder Liquor,40.047502592322914,-105.28174064997621,4bf58dd8d48988d186941735,Liquor Store
3307,65,4b2c5817f964a52015c624e3,Dagabi Cucina,40.04741131014007,-105.28043265835224,4bf58dd8d48988d110941735,Italian Restaurant
3308,65,49ea6c40f964a52062661fe3,North Boulder Recreation Center (NBRC),40.032229640679176,-105.2808877454767,4bf58dd8d48988d176941735,Gym
3309,65,4beedc84f97d95212eea9438,Parkside Park,40.038556526492016,-105.26412963867188,4bf58dd8d48988d163941735,Park
3310,65,4a3fbd7df964a520e4a31fe3,Lucky's Market,40.04757853403424,-105.28101459796564,4bf58dd8d48988d118951735,Grocery Store
3311,65,4b6af8d6f964a520c3e92be3,Red Rock Coffee House,40.03578379055968,-105.26036855961263,4bf58dd8d48988d1e0931735,Coffee Shop
3312,65,40e0b100f964a520bf031fe3,Murphy’s Grill,40.03730078722281,-105.26006470280059,4bf58dd8d48988d14e941735,American Restaurant
3313,65,4ad4a910f964a52088e820e3,Buddha Cafe,40.03711267739461,-105.26001079867058,4bf58dd8d48988d149941735,Thai Restaurant
3314,65,4a99ea57f964a520113120e3,Papa Murphy's,40.03576697624638,-105.26044156955807,4bf58dd8d48988d1ca941735,Pizza Place
3315,65,4c05b165191f20a19385e314,Circle K,40.029826,-105.28173400000001,4d954b0ea243a5684a65b473,Convenience Store
3316,65,4f1eeb87af247c0b8ee53ad9,Supercuts,40.03578921212887,-105.26027747503355,4bf58dd8d48988d110951735,Salon / Barbershop
3317,65,5169df4ce4b01de80b6c1055,Centennial Middle School East Baseball Field,40.04600495254598,-105.26622169872213,4bf58dd8d48988d1e8941735,Baseball Field
3318,66,4beedc84f97d95212eea9438,Parkside Park,40.038556526492016,-105.26412963867188,4bf58dd8d48988d163941735,Park
3319,66,4dea689bb0fb8293f7d3af16,Tangerine,40.03741753719989,-105.25899665768475,4bf58dd8d48988d143941735,Breakfast Spot
3320,66,4b328a59f964a520240e25e3,CorePower Yoga,40.033897,-105.257597,4bf58dd8d48988d102941735,Yoga Studio
3321,66,4b6af8d6f964a520c3e92be3,Red Rock Coffee House,40.03578379055968,-105.26036855961263,4bf58dd8d48988d1e0931735,Coffee Shop
3322,66,4a08a10af964a520fd731fe3,Glacier Homemade Ice Cream,40.031545061838685,-105.25898610036752,4bf58dd8d48988d1c9941735,Ice Cream Shop
3323,66,4db04898a86e63d211565879,Moe's Bagels,40.03394767565749,-105.25899029301438,4bf58dd8d48988d179941735,Bagel Shop
3324,66,4a8728ecf964a520f20220e3,Time Warp Comics,40.030925473359275,-105.25932399547669,52f2ab2ebcbc57f1066b8b18,Comic Shop
3325,66,57819c21498e7f187f80cf28,The Rayback Collective,40.02951944009931,-105.25897832527073,4bf58dd8d48988d117941735,Beer Garden
3326,66,50905e8fe4b0ae9e17c013f4,Lucky's Bakehouse & Creamery,40.0475578617461,-105.28147169830218,4bf58dd8d48988d16a941735,Bakery
3327,66,40e0b100f964a520bf031fe3,Murphy’s Grill,40.03730078722281,-105.26006470280059,4bf58dd8d48988d14e941735,American Restaurant
3328,66,5057bf5de4b0ccc7cecd36c5,The Farm Dispensary,40.036652104868665,-105.25701693490778,52c71aaf3cf9994f4e043d17,Marijuana Dispensary
3329,66,4aecd670f964a520aacb21e3,Movement Climbing And Fitness,40.02980656011139,-105.25752107330528,4bf58dd8d48988d176941735,Gym
3330,66,4a3fbda2f964a520e5a31fe3,Logan's Espresso Cafe,40.047736,-105.280695,4bf58dd8d48988d16d941735,Café
3331,66,4f43f263be777735d028faa2,Curry n Kebob,40.03007949457603,-105.25798231228734,4bf58dd8d48988d10f941735,Indian Restaurant
3332,66,4a6a254ff964a520b4cc1fe3,Abo's Pizza,40.03738354015675,-105.25933624729349,4bf58dd8d48988d1ca941735,Pizza Place
3333,66,59137489ccad6b2e212f2fd4,Boulder Pho,40.028206492633835,-105.25887783749552,4bf58dd8d48988d14a941735,Vietnamese Restaurant
3334,66,54221b2f498ef2e58477848d,Verde,40.03064554437514,-105.25814506425165,4bf58dd8d48988d1c1941735,Mexican Restaurant
3335,66,50ccbcc3e4b0fb932a64cba4,Image TRX Sport - TRX Suspension Training Facility,40.03246472614657,-105.25980931412705,4bf58dd8d48988d175941735,Gym / Fitness Center
3336,66,507b12a1e4b0b6155b1e6c2d,Lucky's Cafe,40.04762819223216,-105.28069493005202,4bf58dd8d48988d143941735,Breakfast Spot
3337,66,4b89984cf964a520c04432e3,The Bookworm,40.03199607929973,-105.25923659337757,4bf58dd8d48988d114951735,Bookstore
3338,66,4b7892aff964a520b1d72ee3,China Gourmet,40.04751384778852,-105.28058223432689,4bf58dd8d48988d1c4941735,Restaurant
3339,66,56246d96498ee2c4f15a8bcc,My Ramen & Izakaya,40.034186461979786,-105.25784049206781,4bf58dd8d48988d111941735,Japanese Restaurant
3340,66,4b2c5817f964a52015c624e3,Dagabi Cucina,40.04741131014007,-105.28043265835224,4bf58dd8d48988d110941735,Italian Restaurant
3341,66,4ad4a910f964a52088e820e3,Buddha Cafe,40.03711267739461,-105.26001079867058,4bf58dd8d48988d149941735,Thai Restaurant
3342,66,4b5508e5f964a520add827e3,North Boulder Liquor,40.047502592322914,-105.28174064997621,4bf58dd8d48988d186941735,Liquor Store
3343,66,49ea6c40f964a52062661fe3,North Boulder Recreation Center (NBRC),40.032229640679176,-105.2808877454767,4bf58dd8d48988d176941735,Gym
3344,66,54ed1eb0498ee77ce3c10051,Sancho ' Mexican Restaurant,40.03522721266506,-105.25655894755644,4bf58dd8d48988d1c1941735,Mexican Restaurant
3345,66,4a25afc5f964a520787e1fe3,Boulder Wine & Spirits,40.03561454196762,-105.25965904953372,4bf58dd8d48988d186941735,Liquor Store
3346,66,4bf1a83e78cec92842aaba86,T-Mobile,40.03549666209564,-105.26004570860096,4f04afc02fb6e1c99f3db0bc,Mobile Phone Shop
3347,66,4a3fbd7df964a520e4a31fe3,Lucky's Market,40.04757853403424,-105.28101459796564,4bf58dd8d48988d118951735,Grocery Store
3348,66,4acaa20cf964a520a8c220e3,Taco Bell,40.03365384662285,-105.25905148072741,4bf58dd8d48988d16e941735,Fast Food Restaurant
3349,66,4a99ea57f964a520113120e3,Papa Murphy's,40.03576697624638,-105.26044156955807,4bf58dd8d48988d1ca941735,Pizza Place
3350,66,4bd755f209ecb713b3a0467c,Chase Bank,40.035721507072026,-105.26010691752624,4bf58dd8d48988d10a951735,Bank
3351,66,4aa59359f964a520db4820e3,Safeway,40.0348885,-105.2598411,52f2ab2ebcbc57f1066b8b46,Supermarket
3352,66,57957aad498e2db41e96d27d,Alibaba Grill,40.02963593219572,-105.25855162890124,4bf58dd8d48988d1c0941735,Mediterranean Restaurant
3353,66,4b1b2a5af964a52017f923e3,Dairy Queen,40.033969,-105.259072,4bf58dd8d48988d1c9941735,Ice Cream Shop
3354,66,4a289740f964a52036951fe3,Vic's Espresso,40.035266992845024,-105.25413298360117,4bf58dd8d48988d1e0931735,Coffee Shop
3355,66,4ae239adf964a520058c21e3,Boulder Cork,40.03455223189746,-105.25403227344597,4bf58dd8d48988d14e941735,American Restaurant
3356,66,4b6c40faf964a520dd2b2ce3,Circle K,40.03601543607199,-105.25851779647986,4d954b0ea243a5684a65b473,Convenience Store
3357,66,4b1de1bbf964a5201a1624e3,Pizza Hut,40.032101000000004,-105.259029,4bf58dd8d48988d1ca941735,Pizza Place
3358,66,4b2ff6cef964a5207df324e3,Elevations Credit Union,40.037125,-105.254739,5032850891d4c4b30a586d62,Credit Union
3359,66,4b9af3b0f964a52053e635e3,Papa John's Pizza,40.030160454602864,-105.25786753067109,4bf58dd8d48988d1ca941735,Pizza Place
3360,66,4f1eeb87af247c0b8ee53ad9,Supercuts,40.03578921212887,-105.26027747503355,4bf58dd8d48988d110951735,Salon / Barbershop
3361,66,4acbf401f964a52070c820e3,Korea House - Boulder,40.03238938859901,-105.25961617278743,4bf58dd8d48988d113941735,Korean Restaurant
3362,66,528fc0d111d211bde6fb321b,Dunkin',40.033567,-105.2592471,4bf58dd8d48988d148941735,Donut Shop
3363,66,4b5da636f964a5200c6529e3,7-Eleven,40.0295351804428,-105.262864843044,4d954b0ea243a5684a65b473,Convenience Store
3364,66,536195b1498e9c4610ebd428,Blooming Beets Kitchen,40.035265354293806,-105.25438166666758,4bf58dd8d48988d1c4941735,Restaurant
3365,66,4b60dddcf964a52094fe29e3,Wells Fargo,40.03543816891728,-105.2545977383852,4bf58dd8d48988d10a951735,Bank
